"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
00d9a7bc-049e-41e3-84f1-4af482b4fac8,3b7e1bf0-8059-4203-aee0-b92ae3f34a58,"#N/A","#N/A",1977-01-01,"#N/A","#N/A",jmanningcongagdo+475@gmail.com,"#N/A","#N/A",Biddy,"#N/A","#N/A",Wilbert,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
010b7f29-68d8-4e12-9790-f3f4e8d00e5d,e3ccdaae-ce5a-4406-b367-96630de046af,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+427@gmail.com,"#N/A","#N/A",Juliana,"#N/A","#N/A",Lyell,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(03) 5338 3910,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
01a68e97-a53f-45d0-a781-df48abb9c7f2,76f53661-fc9b-4245-a190-4835212ef227,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+207@gmail.com,"#N/A","#N/A",Kynthia,"#N/A","#N/A",Charlton,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(417)579-6038,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
02138d90-7d19-4f60-985b-aedc3f14e65e,6d0a290f-2a55-4d9b-bfc1-086c36939bf2,"#N/A","#N/A",1990-03-29,"#N/A","Leads the company in driving a unique combination of organic growth, financial returns and an attractive yield",jmanningcongagdo+227@gmail.com,"#N/A","#N/A",Juanita,"#N/A","#N/A",Gene,"#N/A",London,United Kingdom,"#N/A","#N/A","#N/A",EC2N 4AY,"#N/A",110 Bishopsgate,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(361) 614-9413,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0298c72d-cacc-4d74-8d6b-28a78df5362d,7de8713c-ba60-43f6-af04-3c8f0f83eb63,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+165@gmail.com,"#N/A","#N/A",Merla,"#N/A","#N/A",Che,"#N/A",BARTON BENDISH,UK,"#N/A","#N/A","#N/A",PE33 1YD,"#N/A",97 Gordon Terrace,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",80 4352 5277,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
0336e669-53f2-4579-b3e3-3b1edea195a0,a9b1c568-dd95-4e74-9d7e-757a873d300c,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+116@gmail.com,"#N/A","#N/A",Bridget,"#N/A","#N/A",Curran,"#N/A",London,UK,"#N/A","#N/A","#N/A",SW6 0EP,"#N/A",39 Crown Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",83 6365 8742,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
03c865b8-a8b1-488d-b6ea-a7b1de8cdc71,ebacbdf1-dd2e-476a-98c1-10cba9c71d0f,"#N/A","#N/A","#N/A",Business Development,"#N/A",jmanningcongagdo+44@gmail.com,"#N/A",(02) 8061 6601,Jacki,"#N/A","#N/A",Udell,"#N/A",Riverview,Australia,"#N/A","#N/A","#N/A",2066,NSW,28a College Rd S,0410 305 697,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(02) 8061 6601,"#N/A","#N/A",EVP Business Development,Prodly,"#N/A","#N/A",false,false
03db0380-7da7-4935-bde2-08d317873f2b,50048c10-e833-490f-8d7c-643badc3a8e5,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+797@gmail.com,"#N/A","#N/A",Riki,"#N/A","#N/A",Odell,"#N/A",GLENTHOMPSON,Australia,"#N/A","#N/A","#N/A","#N/A",VIC,88 Bailey Street,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(03) 5338 4033,"#N/A","#N/A",SVP,Prodly,"#N/A","#N/A",false,false
0435b40e-a331-482d-9722-1be763428b9f,be653a0e-33a7-4171-9348-bdccedc8abe4,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+77@gmail.com,"#N/A","#N/A",Wynn,"#N/A","#N/A",Erick,"#N/A",Marple,UK,"#N/A","#N/A","#N/A",SK6 4HJ,"#N/A",14 Ross Road,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",80 0017 4455,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0451fa1e-79f5-4c3c-abed-ecb9b51bc196,7ee4888e-0bbd-41df-b60e-954771f18f05,"#N/A","#N/A",1974-02-01,"#N/A","Mark T. Bertolini is Chairman and Chief Executive Officer of Aetna, a Fortune 50 diversified health care benefits company with over $60 billion in 2015 revenue. Aetna serves an estimated 46.5 million people with information and resources to help them make better informed decisions about their health care and has operations in North America, Asia, Europe and the Middle East. Mr. Bertolini assumed the role of CEO on November 29, 2010 and of Chairman on April 8, 2011.",jmanningcongagdo+451@gmail.com,"#N/A","#N/A",Jeniffer,"#N/A","#N/A",Field,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(269) 958-7479,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0454538f-3814-46a7-b2a1-3568b8eec01d,fd618262-2a79-4aa2-ad79-2c7421955aa8,"#N/A","#N/A","#N/A",Finance,"#N/A",jmanningcongagdo+48@gmail.com,"#N/A",(02) 6817 6366,Eve,"#N/A","#N/A",Hillel,"#N/A",Kensington,Australia,"#N/A","#N/A","#N/A",1465,NSW,4/81 Doncaster Av,0411 837 195,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(02) 6817 6366,"#N/A","#N/A",CFO,Prodly,"#N/A","#N/A",false,false
046ad9b5-2ae8-4b23-93c9-a70897d392c6,d98ae39e-bf25-449f-94f5-367831b784b1,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+543@gmail.com,"#N/A","#N/A",Kaylyn,"#N/A","#N/A",Paul,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A",CIO,Prodly,"#N/A","#N/A",false,false
04dcd059-4947-4417-a70a-46538fe5704d,3f16af9f-5085-41bf-96ed-2408db5e012b,"#N/A","#N/A","#N/A","#N/A","Mr. Nelsen joined Best Buy in 2005. He most recently served as senior vice president, commercial, and as general counsel for Best Buy International, managing the companyâ€™s legal responsibilities outside of the United States, including oversight of its international transactions and local law compliance. He also oversaw the companyâ€™s equity-related investments on a global basis, providing assessment, financial analysis, strategic rational and recommendations of equity investment opportunities.",jmanningcongagdo+540@gmail.com,"#N/A","#N/A",Damara,"#N/A","#N/A",Rudd,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(858) 454-9754,"#N/A","#N/A",General Counsel,Prodly,"#N/A","#N/A",false,false
